x_k,direct_quadrature_coupling,final_mode_population,final_mode_population_density,broadened_reconstruction_weight
-1.502499999999999858e+01,3.707539527362104220e-03,3.565267989220924628e-08,7.130535978441849257e-07,1.155235635286347786e-05
-1.497499999999999964e+01,3.719897168392076112e-03,3.613121000197392609e-08,7.226242000394784953e-07,1.162953456489567870e-05
-1.492500000000000071e+01,3.732337391345891091e-03,4.132077821722010901e-08,8.264155643444021802e-07,1.170748845778969653e-05
-1.487500000000000000e+01,3.744861026057325071e-03,5.066333973411593860e-08,1.013266794682318640e-06,1.178622845678359337e-05
-1.482499999999999929e+01,3.757468913517790846e-03,6.292298979167166808e-08,1.258459795833433256e-06,1.186576516277728445e-05
-1.477499999999999858e+01,3.770161906051769374e-03,7.636474281161697743e-08,1.527294856232339390e-06,1.194610935589483527e-05
-1.472499999999999964e+01,3.782940867500583348e-03,8.901810908573255402e-08,1.780362181714651080e-06,1.202727199913131953e-05
-1.467500000000000071e+01,3.795806673431590967e-03,9.898573497984816172e-08,1.979714699596962917e-06,1.210926424208646759e-05
-1.462500000000000000e+01,3.808760211334329820e-03,1.047490603445896125e-07,2.094981206891791932e-06,1.219209742478755820e-05
-1.457499999999999929e+01,3.821802380806612384e-03,1.054220685101644347e-07,2.108441370203288694e-06,1.227578308160389488e-05
-1.452499999999999858e+01,3.834934093796861683e-03,1.009111092818361655e-07,2.018222185636723045e-06,1.236033294525551302e-05
-1.447499999999999964e+01,3.848156274783473899e-03,9.195258227692862952e-08,1.839051645538572484e-06,1.244575895091858762e-05
-1.442500000000000071e+01,3.861469860995478225e-03,8.001897022837579943e-08,1.600379404567515883e-06,1.253207324043031154e-05
-1.437500000000000000e+01,3.874875802664734439e-03,6.710446562099854836e-08,1.342089312419970808e-06,1.261928816659594452e-05
-1.432499999999999929e+01,3.888375063200772645e-03,5.542098737869930154e-08,1.108419747573985951e-06,1.270741629760091801e-05
-1.427499999999999858e+01,3.901968619465396530e-03,4.705058384718325424e-08,9.410116769436650849e-07,1.279647042153091132e-05
-1.422499999999999964e+01,3.915657461978000464e-03,4.360851415179250046e-08,8.721702830358500092e-07,1.288646355100293647e-05
-1.417500000000000071e+01,3.929442595171093837e-03,4.597116956205785691e-08,9.194233912411571382e-07,1.297740892791057940e-05
-1.412500000000000000e+01,3.943325037632958510e-03,5.411421642549362726e-08,1.082284328509872439e-06,1.306932002828656541e-05
