reservoir,alpha_b,final_population,probability_backflow,positive_heatlike_integral_direct_over_gamma0,positive_heatlike_integral_parts_over_gamma0,direct_parts_error,coarse_fine_max_population_error
Lorentzian,,0.047783154486655606,0.01593828062736099,0.027761181309777797,0.02776117182222302,9.487554776532736e-09,1e-09
s=0.5,3.475826184579134,0.003982029478584485,1.3275639019493641,2.5756928505855696,2.5756914867333918,1.3638521778602808e-06,5.963921258483884e-06
s=1,1.7379130922895671,0.006528290382789917,0.36151379146679413,0.7230739357093475,0.7230734642155223,4.714938252048384e-07,1.9256867804240407e-06
s=3,0.10861956826809795,3.311585935255334e-05,0.0,0.0,0.0,0.0,7.701848354635388e-07
