t,tau,detuning,population,dP_dtau,heat_power,mutual_information
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.642085061828095488e-13
2.000000000000000042e-03,1.600000000000000077e-03,1.999999893333340270e-04,9.999990591970705500e-01,-1.176003385134943586e-03,-9.406145475763685697e-04,2.799176916095585737e-05
4.000000000000000083e-03,3.200000000000000153e-03,3.999999146666885302e-04,9.999962367937044183e-01,-2.351999992726788377e-03,-1.880847354344321407e-03,1.015330922047552701e-04
6.000000000000000125e-03,4.800000000000000447e-03,5.999997120001658970e-04,9.999915328061677045e-01,-3.527983045313443696e-03,-2.820693005201851521e-03,2.147163030584981597e-04
8.000000000000000167e-03,6.400000000000000307e-03,7.999993173340324464e-04,9.999849472615700563e-01,-4.703945765594855048e-03,-3.760146089754882147e-03,3.643949789536847527e-04
1.000000000000000021e-02,8.000000000000000167e-03,9.999986666688000150e-04,9.999764801978650031e-01,-5.879881376514045632e-03,-4.699201202381889098e-03,5.483715290765607455e-04
1.200000000000000025e-02,9.600000000000000894e-03,1.199997696005308465e-03,9.999661316638487341e-01,-7.055783101338196014e-03,-5.637852942298461970e-03,7.649511264801258942e-04
1.400000000000000029e-02,1.120000000000000162e-02,1.399996341344806943e-03,9.999539017191602097e-01,-8.231644163739721201e-03,-6.576095913621787283e-03,1.012752663716136097e-03
1.600000000000000033e-02,1.280000000000000061e-02,1.599994538689036285e-03,9.999397904342801624e-01,-9.407457787877377201e-03,-7.513924725435060063e-03,1.290610009411138296e-03
1.800000000000000211e-02,1.440000000000000308e-02,1.799992224040310868e-03,9.999237978905298752e-01,-1.058321719847736368e-02,-8.451333991851821270e-03,1.597513719772489064e-03
2.000000000000000042e-02,1.600000000000000033e-02,1.999989333401599491e-03,9.999059241800708486e-01,-1.175891562091445179e-02,-9.388318332080203277e-03,1.932573691639922348e-03
2.199999999999999872e-02,1.760000000000000106e-02,2.199985802776609732e-03,9.998861694059032468e-01,-1.293454628129313798e-02,-1.032487237048715020e-02,2.294993773083727623e-03
2.400000000000000050e-02,1.920000000000000179e-02,2.399981568169867741e-03,9.998645336818648977e-01,-1.411010240652873018e-02,-1.126099073666245870e-02,2.684053708675395323e-03
2.600000000000000228e-02,2.080000000000000251e-02,2.599976565586799987e-03,9.998410171326299611e-01,-1.528557722442855024e-02,-1.219666806548285604e-02,3.099095837648556916e-03
2.800000000000000058e-02,2.240000000000000324e-02,2.799970731033816530e-03,9.998156198937071526e-01,-1.646096396377302873e-02,-1.313189899717589169e-02,3.539515008943438026e-03
2.999999999999999889e-02,2.400000000000000050e-02,2.999964000518392550e-03,9.997883421114381886e-01,-1.763625585439687268e-02,-1.406667817738380122e-02,4.004750752015138159e-03
3.200000000000000067e-02,2.560000000000000123e-02,3.199956310049149443e-03,9.997591839429964544e-01,-1.881144612727019688e-02,-1.500100025722727118e-02,4.494281076683838243e-03
3.400000000000000244e-02,2.720000000000000195e-02,3.399947595635937660e-03,9.997281455563846730e-01,-1.998652801457964645e-02,-1.593485989336909311e-02,5.007617479050430198e-03
3.600000000000000422e-02,2.880000000000000615e-02,3.599937793289918666e-03,9.996952271304330173e-01,-2.116149474980955417e-02,-1.686825174807776717e-02,5.544300859494902603e-03
3.799999999999999906e-02,3.039999999999999994e-02,3.799926839023644309e-03,9.996604288547972228e-01,-2.233633956782301450e-02,-1.780117048929096002e-02,6.103898143289797525e-03
4.000000000000000083e-02,3.200000000000000067e-02,3.999914668851143121e-03,9.996237509299555901e-01,-2.351105570494298885e-02,-1.873361079067888818e-02,6.685999451280760786e-03
4.200000000000000261e-02,3.360000000000000486e-02,4.199901218788000545e-03,9.995851935672075417e-01,-2.468563639903346638e-02,-1.966556733170768748e-02,7.290215707327049426e-03
4.399999999999999745e-02,3.520000000000000212e-02,4.399886424851435704e-03,9.995447569886702910e-01,-2.586007488958041306e-02,-2.059703479770248757e-02,7.916176597034059806e-03
4.599999999999999922e-02,3.679999999999999938e-02,4.599870223060392900e-03,9.995024414272767332e-01,-2.703436441777294294e-02,-2.152800787991061490e-02,8.563528812169398513e-03
4.800000000000000100e-02,3.840000000000000357e-02,4.799852549435615345e-03,9.994582471267724477e-01,-2.820849822658426723e-02,-2.245848127556451801e-02,9.231934529855908081e-03
5.000000000000000278e-02,4.000000000000000777e-02,4.999833339999730161e-03,9.994121743417127002e-01,-2.938246956085273712e-02,-2.338844968794468598e-02,9.921070086459876300e-03
5.200000000000000455e-02,4.160000000000000503e-02,5.199812530777331646e-03,9.993642233374592232e-01,-3.055627166736281722e-02,-2.431790782644242463e-02,1.063062481431100575e-02
5.399999999999999939e-02,4.320000000000000229e-02,5.399790057795058468e-03,9.993143943901777737e-01,-3.172989779492603468e-02,-2.524685040662251814e-02,1.136030001563771187e-02
5.600000000000000117e-02,4.480000000000000648e-02,5.599765857081681272e-03,9.992626877868344693e-01,-3.290334119446191447e-02,-2.617527215028581100e-02,1.210980805298826277e-02
5.800000000000000294e-02,4.640000000000000374e-02,5.799739864668182476e-03,9.992091038251907920e-01,-3.407659511907885908e-02,-2.710316778553166495e-02,1.287887153916200678e-02
5.999999999999999778e-02,4.800000000000000100e-02,5.999712016587833464e-03,9.991536428138029224e-01,-3.524965282415500056e-02,-2.803053204682029453e-02,1.366722261257806263e-02
6.199999999999999956e-02,4.960000000000000520e-02,6.199682248876283927e-03,9.990963050720165217e-01,-3.642250756741901435e-02,-2.895735967503498126e-02,1.447460228659492795e-02
6.400000000000000133e-02,5.120000000000000245e-02,6.399650497571639923e-03,9.990370909299617352e-01,-3.759515260903090184e-02,-2.988364541754419054e-02,1.530075986300306716e-02
6.600000000000000311e-02,5.280000000000000665e-02,6.599616698714544545e-03,9.989760007285520826e-01,-3.876758121166273829e-02,-3.080938402826358113e-02,1.614545240147662736e-02
