s,alpha_b,Gamma_final,coherence_final,min_gamma_phi,Sigma_final,max_Gamma_GL160_GL320_error
5.000000000000000000e-01,6.652487766867440921e-01,3.653128894875452914e+01,1.363524019418530019e-16,0.000000000000000000e+00,1.619921092807616603e+01,7.545963853772263974e-12
1.000000000000000000e+00,4.704019211712519577e-01,1.017185618461909336e+01,3.823129317596825745e-05,0.000000000000000000e+00,9.739337971583788445e+00,5.086064902570797130e-11
3.000000000000000000e+00,1.176004802928129894e-01,1.031172871504388411e+00,3.565884827365625176e-01,-1.271614644371262849e-02,5.351973012398796747e+00,4.404073106201167320e-09
