a,epsilon,ell_critical,mu,k,tau_tangent,X_exit,s_exit,largest_real_q_after_first_peak,abs_z_exit,predicted_abs_z_exit,abs_q_minus_qs_exit,abs_q_minus_qs_over_epsilon2,max_wkb_q_error_at_later_peaks
1.000000000000000021e-03,1.778279410038922925e-01,1.865687607446118390e+00,4.247330784569054885e+00,1.457280135143729893e+00,1.197203506473677947e+01,3.942391327317698924e+00,9.348883131029742444e+00,-7.167233518667400771e-01,1.525588866171883815e-03,4.831052051431841167e-03,8.628651835710249036e-04,2.728619293743739238e-02,7.339159840069724161e-02
1.000000000000000048e-04,1.000000000000000056e-01,1.956642034313978762e+00,4.335796568602122925e+00,1.472378444660563890e+00,2.103506529117213120e+01,4.552281388155439146e+00,1.439557773656424366e+01,-7.457513046943020640e-01,3.895767512752710583e-03,8.784570619184257044e-04,1.247671306330814557e-03,1.247671306330814384e-01,4.573910386623342150e-02
1.000000000000000082e-05,5.623413251903491145e-02,1.986139095339625849e+00,4.383202915722494986e+00,1.480405842281516948e+00,3.735000059509479797e+01,5.089605318311333448e+00,2.146268766563405350e+01,-7.506814019691404605e-01,1.650394205652040442e-03,1.586230336173937426e-04,2.930502897696025673e-04,9.267063846442842590e-02,2.700370855774020251e-02
9.999999999999999547e-07,3.162277660168379134e-02,1.995590556799855753e+00,4.409443200144248287e+00,1.484830495400779382e+00,6.647127407658184950e+01,5.575383283274756963e+00,3.135268423960846462e+01,-7.511545945116340217e-01,1.069409784077581405e-03,2.844635048425427806e-05,1.051424712771770501e-04,1.051424712771770742e-01,1.581892063822927172e-02
9.999999999999999547e-08,1.778279410038922925e-02,1.998600973863522867e+00,4.424109097373314370e+00,1.487297733705883473e+00,1.183185967241480512e+02,6.022102225523594754e+00,4.515939586928238469e+01,-7.513121272594375233e-01,6.062960991579078879e-04,5.071802985461876487e-06,3.308557371900054265e-05,1.046257706454494368e-01,8.376066249868528366e-03
1.000000000000000021e-08,1.000000000000000021e-02,1.999556766586749301e+00,4.432334132506987601e+00,1.488679638556762663e+00,2.105526000668359643e+02,6.437898078868041551e+00,6.437898078868040841e+01,-7.507180937918650487e-01,3.547528762180011041e-04,9.002729901095549710e-07,1.078071290691392567e-05,1.078071290691392514e-01,5.283103035352492566e-03
1.000000000000000062e-09,5.623413251903490971e-03,1.999859691214034507e+00,4.436953393840244786e+00,1.489455167811412295e+00,3.745902540526866460e+02,6.828422082233158719e+00,9.105847194515229148e+01,-7.519816549783164827e-01,2.041172024956526218e-04,1.592987298647667985e-07,3.464506555428423536e-06,1.095573168373820544e-01,2.547566360902121796e-03
1.000000000000000036e-10,3.162277660168379394e-03,1.999955604507380746e+00,4.439549261925357371e+00,1.489890811758592726e+00,6.663062420044121836e+02,7.197788868282121832e+00,1.279967974227345735e+02,-7.599588296889965289e-01,1.165133409130238450e-04,2.812620223378373188e-08,1.107019831028531449e-06,1.107019831028531326e-01,1.176079485889176346e-03
9.999999999999999395e-12,1.778279410038922752e-03,1.999985956298014900e+00,4.441008505354499647e+00,1.490135649086099079e+00,1.185065097823789984e+03,7.549104652314911235e+00,1.790174827378765201e+02,-8.084840752689023136e-01,6.612888544431353333e-05,4.958917939233690367e-09,3.522755682499026106e-07,1.113993159699788321e-01,3.281222223902557065e-04
