s,alpha_b,final_population,probability_backflow,energy_backflow_over_gamma0,coarse_fine_max_P_error,coarse_fine_backflow_error
nan,nan,3.009785843486172119e-02,9.348913336553282133e-03,6.748968605516119171e-03,nan,nan
5.000000000000000000e-01,6.652487766867440921e-01,4.301263301973882319e-02,1.300424859659277677e-01,1.014935885793413345e-01,5.458857347817591688e-07,4.508373646627816811e-07
1.000000000000000000e+00,4.704019211712519577e-01,1.646233486089023965e-02,4.029565365885795503e-02,3.076895245647507868e-02,4.596081115693095853e-07,5.161753735549723388e-08
3.000000000000000000e+00,1.176004802928129894e-01,2.223329058273639802e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.429542909833443787e-07,0.000000000000000000e+00
