Omega_delta,ell_switch,a_switch,a_birth,ell_tip,a_tip
1.000000000000000000e+00,9.005629425855226078e-01,2.350295818154746197e-01,2.176335803316680195e-01,5.364963334040814269e-01,2.804682851674486499e-01
1.250000000000000000e+00,9.361877682662644862e-01,3.191018368737580935e-01,3.400524692682312944e-01,4.922574410344945361e-01,3.966326669423280715e-01
1.500000000000000000e+00,9.905615132962165559e-01,4.161235706585344474e-01,4.896755557462530439e-01,4.495032485262742683e-01,5.382079144820852701e-01
2.000000000000000000e+00,1.127366215603182731e+00,6.501622156945954245e-01,8.705343213266720781e-01,3.580052037036432488e-01,9.014681064202920702e-01
