s,alpha_b,final_population,probability_backflow,positive_heatlike_integral_direct,positive_heatlike_integral_parts,direct_parts_error,coarse_fine_final_P_error,coarse_fine_max_P_error,coarse_fine_backflow_error
5.000000000000000000e-01,3.475826184579133837e+00,3.982029478584485187e-03,1.327563901949364134e+00,2.575692850585569627e+00,2.575691486733391766e+00,1.363852177860280790e-06,5.065435526438108460e-07,5.963921258483884102e-06,2.601391674517117281e-06
1.000000000000000000e+00,1.737913092289567141e+00,6.528290382789916912e-03,3.615137914667941321e-01,7.230739357093475261e-01,7.230734642155223213e-01,4.714938252048384015e-07,3.953574572281362554e-07,1.925686780424040734e-06,3.866136852326285123e-06
3.000000000000000000e+00,1.086195682680979463e-01,3.311585935255334116e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.894608720400179518e-10,7.701848354635387750e-07,0.000000000000000000e+00
