t,Gamma_beta,coherence,gamma_phi,bath_energy,system_entropy,Sigma_beta
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.551116999690106006e-14,3.551116999690106006e-14
7.142857142857142634e-03,3.606168585490190329e-05,9.999639389643598664e-01,1.009705775097545326e-02,3.599899909187177115e-05,2.149857214153008721e-04,5.749757123340185159e-04
1.428571428571428527e-02,1.442375601230980989e-04,9.998557728416136436e-01,2.019154429370896217e-02,1.439822224408293379e-04,7.598775240754889002e-04,2.199699748483782170e-03
2.142857142857142877e-02,3.245000778337818188e-04,9.996755525666219944e-01,3.028088979709527007e-02,3.239083581037665053e-04,1.577861370773529781e-03,4.816944951811195051e-03
2.857142857142857054e-02,5.768033470934980133e-04,9.994233629719777579e-01,4.036252718303810078e-02,5.757085856204402410e-04,2.638489379997222863e-03,8.395575236201626573e-03
3.571428571428571230e-02,9.010831536571773737e-04,9.990993226998560184e-01,5.043389349979559427e-02,8.992866251413786675e-04,3.920326520282031019e-03,1.291319277169581704e-02
4.285714285714285754e-02,1.297256995296007607e-03,9.987035840788242025e-01,6.049243129153961118e-02,1.294518806128033611e-03,5.406686272352110439e-03,1.835187433363244525e-02
4.999999999999999584e-02,1.765224125930615244e-03,9.982363329658366924e-01,7.053558996287538629e-02,1.761254155546419786e-03,7.083827046107272520e-03,2.469636860157146951e-02
5.714285714285714107e-02,2.304865609489107313e-03,9.976977885536950641e-01,8.056082713707467258e-02,2.299314505453205985e-03,8.940012556070450755e-03,3.193315761060250974e-02
6.428571428571427937e-02,2.916044383440635161e-03,9.970882031443195626e-01,9.056561000678473028e-02,2.908494619851113329e-03,1.096495893728377524e-02,4.004990513579490680e-02
7.142857142857142461e-02,3.598605331946354464e-03,9.964078618882377114e-01,1.005474166759853655e-01,3.588562340668599668e-03,1.314948186790893848e-02,4.903510527459493257e-02
7.857142857142856984e-02,4.352375368560916502e-03,9.956570824907535755e-01,1.105037374919794202e-01,4.339258752697102046e-03,1.548525776980398325e-02,5.887784529677500545e-02
8.571428571428571508e-02,5.177163528408999967e-03,9.948362148853219233e-01,1.204320763662149046e-01,5.160298367297803945e-03,1.796465489686685860e-02,6.956763856984489458e-02
9.285714285714286031e-02,6.072761069752859175e-03,9.939456408747049387e-01,1.303299520827535252e-01,6.051369324668758043e-03,2.058060964700128212e-02,8.109430289368886602e-02
9.999999999999999167e-02,7.038941584858494915e-03,9.929857737405487494e-01,1.401948995932165432e-01,7.012133614442542240e-03,2.332653343403347235e-02,9.344786957845889475e-02
1.071428571428571369e-01,8.075461120059685208e-03,9.919570578220646695e-01,1.500244712970588423e-01,8.042227314364243720e-03,2.619624095085548027e-02,1.066185140944979071e-01
1.142857142857142821e-01,9.182058304911094523e-03,9.908599680645580055e-01,1.598162383060405811e-01,9.141260846779693250e-03,2.918389384952537954e-02,1.205965023173223155e-01
1.214285714285714274e-01,1.035845449031354802e-02,9.896950095385915747e-01,1.695677916917903150e-01,1.030881925264434326e-02,3.228395580921682856e-02,1.353721483356602751e-01
1.285714285714285587e-01,1.160435389548687864e-02,9.884627169306218208e-01,1.792767437153730270e-01,1.154446248274430473e-02,3.549115619425496915e-02,1.509357810216980234e-01
1.357142857142857040e-01,1.291944376365796940e-02,9.871636540059898213e-01,1.889407290378055104e-01,1.284772570580238957e-02,3.880046031014851987e-02,1.672777173681724294e-01
1.428571428571428492e-01,1.430339452632418441e-02,9.857984130451924454e-01,1.985574059104833755e-01,1.421811963312426610e-02,4.220704480789988500e-02,1.843882411391425391e-01
1.499999999999999944e-01,1.575585997594510304e-02,9.843676142543986707e-01,2.081244573445147072e-01,1.565513085942227267e-02,4.570627716119388118e-02,2.022575857554166079e-01
1.571428571428571397e-01,1.727647744690843923e-02,9.828719051512176952e-01,2.176395922579820452e-01,1.715822221943777773e-02,4.929369840509213035e-02,2.208759205994698938e-01
1.642857142857142849e-01,1.886486800460894508e-02,9.813119599267554616e-01,2.271005466001847217e-01,1.872683315996666667e-02,5.296500851475398342e-02,2.402333401144206571e-01
1.714285714285714302e-01,2.052063664247272268e-02,9.796884787850346221e-01,2.365050844519451523e-01,2.036038012687713464e-02,5.671605394163759667e-02,2.603198552104089569e-01
1.785714285714285754e-01,2.224337248675273965e-02,9.780021872608803957e-01,2.458509991010940643e-01,2.205825696669394542e-02,6.054281692792627678e-02,2.811253865948657449e-01
1.857142857142857206e-01,2.403264900891515995e-02,9.762538355174017468e-01,2.551361140922829840e-01,2.381983534230920629e-02,6.444140629775151063e-02,3.026397597208435597e-01
1.928571428571428381e-01,2.588802424543023423e-02,9.744441976242242953e-01,2.643582842503067742e-01,2.564446516236617082e-02,6.840804948322889989e-02,3.248527011068905734e-01
1.999999999999999833e-01,2.780904102477565684e-02,9.725740708176513483e-01,2.735153966761536548e-01,2.753147502384983153e-02,7.243908558923177476e-02,3.477538358277301178e-01
2.071428571428571286e-01,2.979522720145496434e-02,9.706442747439493202e-01,2.826053717150361910e-01,2.948017266740598358e-02,7.653095933668624395e-02,3.713326860107460936e-01
2.142857142857142738e-01,3.184609589682824843e-02,9.686556506869693495e-01,2.916261638956939573e-01,3.148984544489909915e-02,8.068021575243553012e-02,3.955786702014265632e-01
2.214285714285714191e-01,3.396114574654752333e-02,9.666090607813310198e-01,3.005757628402935810e-01,3.355976079870889167e-02,8.488349549623247503e-02,4.204811034833214056e-01
2.285714285714285643e-01,3.613986115438450053e-02,9.645053872124039751e-01,3.094521941442944790e-01,3.568916675225577984e-02,8.913753073349306444e-02,4.460291982560508628e-01
2.357142857142857095e-01,3.838171255223405548e-02,9.623455314043307673e-01,3.182535202256820406e-01,3.787729241123603124e-02,9.343914147703001605e-02,4.722120655893903285e-01
2.428571428571428548e-01,4.068615666607262177e-02,9.601304131973391609e-01,3.269778411430130927e-01,4.012334847503986474e-02,9.778523233294697525e-02,4.990187170833456642e-01
2.500000000000000000e-01,4.305263678764673085e-02,9.578609700155937823e-01,3.356232953817550047e-01,4.242652775781767527e-02,1.021727895956078408e-01,5.264380671737846074e-01
2.571428571428571175e-01,4.548058305166370607e-02,9.555381560268371155e-01,3.441880606084430361e-01,4.478600571865351543e-02,1.065988786447121528e-01,5.544589358312472793e-01
2.642857142857142905e-01,4.796941271825286984e-02,9.531629412950646252e-01,3.526703543922172779e-01,4.720094100029891687e-02,1.110606416042080186e-01,5.830700516071971595e-01
2.714285714285714080e-01,5.051853046046286821e-02,9.507363109274746815e-01,3.610684348933431709e-01,4.967047597591491004e-02,1.155552952284022994e-01,6.122600549875514275e-01
2.785714285714285809e-01,5.312732865655816344e-02,9.482592642169225261e-01,3.693806015183599412e-01,5.219373730326670735e-02,1.200801289853451193e-01,6.420175020180122205e-01
2.857142857142856984e-01,5.579518768687480312e-02,9.457328137810997459e-01,3.776051955415418160e-01,5.476983648581091463e-02,1.246325033115666947e-01,6.723308681696759104e-01
2.928571428571428714e-01,5.852147623499427687e-02,9.431579846996431815e-01,3.857406006923965180e-01,5.739787044011409461e-02,1.292098480156359808e-01,7.031885524167769130e-01
2.999999999999999889e-01,6.130555159299157231e-02,9.405358136503642053e-01,3.937852437089677804e-01,6.007692206903800236e-02,1.338096608109003438e-01,7.345788815012803674e-01
3.071428571428571064e-01,6.414675997051288991e-02,9.378673480457684342e-01,4.017375948567495358e-01,6.280606084012756163e-02,1.384295059602621281e-01,7.664901143615377999e-01
3.142857142857142794e-01,6.704443680743642220e-02,9.351536451710178444e-01,4.095961684130574598e-01,6.558434336863598613e-02,1.430670130179729771e-01,7.989104467043328661e-01
3.214285714285713969e-01,6.999790708986933230e-02,9.323957713244617196e-01,4.173595231167457897e-01,6.841081400462291351e-02,1.477198756552817183e-01,8.318280157015107701e-01
3.285714285714285698e-01,7.300648566923294280e-02,9.295948009618417718e-01,4.250262625831973673e-01,7.128450542356234987e-02,1.523858505583773337e-01,8.652309047940007769e-01
3.357142857142856873e-01,7.606947758418806937e-02,9.267518158452456856e-01,4.325950356845518208e-01,7.420443921989984537e-02,1.570627563884656186e-01,8.991071485874639890e-01
3.428571428571428603e-01,7.918617838515203122e-02,9.238679041978604678e-01,4.400645368951800473e-01,7.716962650300007720e-02,1.617484727950358470e-01,9.334447378250365634e-01
3.499999999999999778e-01,8.235587446115935628e-02,9.209441598655420114e-01,4.474335066024471286e-01,8.017906849493054711e-02,1.664409394744537085e-01,9.682316244237592073e-01
3.571428571428571508e-01,8.557784336881867071e-02,9.179816814861896379e-01,4.547007313828476671e-01,8.323175712953152783e-02,1.711381552669498929e-01,1.003455726562265227e+00
3.642857142857142683e-01,8.885135416311826240e-02,9.149815716678783017e-01,4.618650442436323944e-01,8.632667565222577888e-02,1.758381772859159975e-01,1.039104933808173925e+00
3.714285714285714413e-01,9.217566772983522283e-02,9.119449361766701623e-01,4.689253248300845334e-01,8.946279922002947638e-02,1.805391200741487401e-01,1.075167112274443504e+00
3.785714285714285587e-01,9.555003711930268318e-02,9.088728831349892623e-01,4.758804995986353759e-01,9.263909550122964576e-02,1.852391547823326046e-01,1.111630109794629062e+00
3.857142857142856762e-01,9.897370788129239427e-02,9.057665222314079667e-01,4.827295419560522771e-01,9.585452527420283697e-02,1.899365083656472108e-01,1.148481761107675636e+00
3.928571428571428492e-01,1.024459184007711077e-01,9.026269639426560687e-01,4.894714723649571386e-01,9.910804302485486106e-02,1.946294627948800537e-01,1.185709893043428664e+00
3.999999999999999667e-01,1.059659002342911993e-01,8.994553187686249451e-01,4.961053584159748064e-01,1.023985975421711631e-01,1.993163542789080922e-01,1.223302329700619584e+00
4.071428571428571397e-01,1.095328784467785310e-01,8.962526964811011743e-01,5.026303148668409548e-01,1.057251325113760659e-01,2.039955724958090189e-01,1.261246897609569650e+00
4.142857142857142572e-01,1.131460719484827376e-01,8.930202053869239487e-01,5.090455036488286122e-01,1.090865871042068086e-01,2.086655598302408210e-01,1.299531430872308935e+00
4.214285714285714302e-01,1.168046938318577227e-01,8.897589516062196502e-01,5.153501338408889021e-01,1.124818965658207354e-01,2.133248106150534840e-01,1.338143776273260865e+00
4.285714285714285476e-01,1.205079517081434626e-01,8.864700383663296490e-01,5.215434616119265510e-01,1.159099927978611000e-01,2.179718703754021103e-01,1.377071798354013055e+00
