t,tau,population,population_rate,gamma,heat_power,mutual_information,mutual_information_rate,interaction_energy,bath_energy
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,6.642085061828095488e-13,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-03,1.600000000000000077e-03,9.999965241850691244e-01,-3.475811910543026486e-03,3.475823991863954531e-03,-6.950928658703944135e-03,9.433139170171728758e-05,8.737967382943309658e-02,3.475470948537295951e-06,3.475811331694711387e-06
4.000000000000000083e-03,3.200000000000000153e-03,9.999860968094479441e-01,-6.951554649533652104e-03,6.951651299666322670e-03,-1.390032867720749146e-02,3.387758535782424657e-04,1.554837309039057425e-01,1.389972220180799537e-05,1.390318310798479603e-05
6.000000000000000125e-03,4.800000000000000447e-03,9.999687180806373643e-01,-1.042715905959129032e-02,1.042748525134407772e-02,-2.084806182374682529e-02,7.115044181543744720e-04,2.163101425999827410e-01,3.126974489565018220e-05,3.128192867096299293e-05
8.000000000000000167e-03,6.400000000000000307e-03,9.999443883444361081e-01,-1.390255600055558677e-02,1.390332918770956563e-02,-2.779398995631073011e-02,1.200888093659073551e-03,2.724084098907859630e-01,5.558237821426643499e-05,5.561173693943459917e-05
1.000000000000000021e-02,8.000000000000000167e-03,9.999131080849038566e-01,-1.737767635114360193e-02,1.737918646193809327e-02,-3.473797502593606312e-02,1.798802037919295911e-03,3.249889156514925159e-01,8.683430955134709562e-05,8.689217243342349094e-05
1.200000000000000025e-02,9.600000000000000894e-03,9.998748779243229468e-01,-2.085245101060597198e-02,2.085506043905647686e-02,-4.167987907999921166e-02,2.498977666071089659e-03,3.747642349627151037e-01,1.250220746746724210e-04,1.251226752954213062e-04
1.400000000000000029e-02,1.120000000000000162e-02,9.998296986231545169e-01,-2.432681090038208566e-02,2.433095449543262387e-02,-4.861956426550363697e-02,3.296304311455757353e-03,4.222049673683269666e-01,1.701420578941852395e-04,1.703025613212667540e-04
1.600000000000000033e-02,1.280000000000000061e-02,9.997775710799943205e-01,-2.780068696575407894e-02,2.780687201826583660e-02,-5.555689283236295295e-02,4.186464488627942779e-03,4.676453922987168221e-01,2.221904922335298004e-04,2.224310219875587314e-04
1.800000000000000211e-02,1.440000000000000308e-02,9.997184963315214334e-01,-3.127401017749985301e-02,3.128281640507822592e-02,-6.249172713668020573e-02,5.165718606745157288e-03,5.113352913682617240e-01,2.811634596050462055e-04,2.815071244891585787e-04
