t,tau,population,population_rate,gamma,heat_power,mutual_information,mutual_information_rate,interaction_energy,bath_energy
7.200000000000000844e-02,5.760000000000001230e-02,9.920435562019419562e-01,-2.202403458807293546e-01,2.220067299503701297e-01,-4.388949612711174342e-01,9.276870264282455203e-02,2.125665059058873929e+00,9.905489976301969784e-03,5.969240750240138033e-03
7.399999999999999634e-02,5.920000000000000262e-02,9.915970462593998169e-01,-2.262689096432545233e-01,2.281863489779527021e-01,-4.508634293551489480e-01,9.705342169254567442e-02,2.158937353298533424e+00,1.046014615652864944e-02,6.304344932517224817e-03
7.599999999999999811e-02,6.079999999999999988e-02,9.911384864740528933e-01,-2.322901701841567357e-01,2.343670166724353965e-01,-4.628149350749138913e-01,1.014039616849327363e-01,2.191488969865485359e+00,1.102966624495788951e-02,6.648505216391533898e-03
7.799999999999999989e-02,6.240000000000000407e-02,9.906678916458356854e-01,-2.383039340387420602e-01,2.405487611421808780e-01,-4.747490973919819002e-01,1.058188983174951497e-01,2.223336807928728565e+00,1.161402601722259439e-02,7.001711520383997051e-03
8.000000000000000167e-02,6.400000000000000133e-02,9.901852769613164185e-01,-2.443100080383343586e-01,2.467316104598865079e-01,-4.866655360123620655e-01,1.102968401979312896e-01,2.254496890298195666e+00,1.221320075124447159e-02,7.363953499393080179e-03
8.200000000000000344e-02,6.560000000000000553e-02,9.896906579930967451e-01,-2.503081993170668818e-01,2.529155926606845295e-01,-4.985638713997337934e-01,1.148364271595605501e-01,2.284984430394142230e+00,1.282716522834054761e-02,7.735220545093729819e-03
8.400000000000000522e-02,6.720000000000000973e-02,9.891840506992050086e-01,-2.562983153186612628e-01,2.591007357402262401e-01,-5.104437247886457474e-01,1.194363287039265920e-01,2.314813892655554817e+00,1.345589373434701377e-02,8.115501786331424244e-03
8.600000000000000699e-02,6.880000000000001392e-02,9.886654714224618612e-01,-2.622801638031933003e-01,2.652870676527547267e-01,-5.223047181976792075e-01,1.240952425584469776e-01,2.343999047169263772e+00,1.409936006075975835e-02,8.504786089552384895e-03
8.799999999999999489e-02,7.040000000000000424e-02,9.881349368898488805e-01,-2.682535528538442238e-01,2.714746163091564246e-01,-5.341464744425746813e-01,1.288118933379613362e-01,2.372553019194638235e+00,1.475753750589235171e-02,8.903062059212115895e-03
8.999999999999999667e-02,7.199999999999999456e-02,9.875924642118502073e-01,-2.742182908836404698e-01,2.776634095750020181e-01,-5.459686171493282059e-01,1.335850313008369317e-01,2.400488334163828341e+00,1.543039887605064317e-02,9.310318038217069853e-03
9.199999999999999845e-02,7.359999999999999876e-02,9.870380708817890758e-01,-2.801741866421766369e-01,2.838534752685656359e-01,-5.577707707672452386e-01,1.384134311909012982e-01,2.427816958662339708e+00,1.611791648672441027e-02,9.726542108362139921e-03
9.400000000000000022e-02,7.520000000000000295e-02,9.864717747751466925e-01,-2.861210492223260626e-01,2.900448411588295028e-01,-5.695525605819622417e-01,1.432958911577238148e-01,2.454550337827346773e+00,1.682006216379591454e-02,1.015172209078366375e-02
9.600000000000000200e-02,7.680000000000000715e-02,9.858935941488677912e-01,-2.920586880669374663e-01,2.962375349634711608e-01,-5.813136127284322940e-01,1.482312317484322239e-01,2.480699429545913048e+00,1.753680724476508468e-02,1.058584554642266751e-02
9.800000000000000377e-02,7.840000000000001135e-02,9.853035476406578619e-01,-2.979869129755137180e-01,3.024315843468272091e-01,-5.930535542038674057e-01,1.532182949649653347e-01,2.506274735787433094e+00,1.826812257999172601e-02,1.102889977648618264e-02
1.000000000000000056e-01,8.000000000000001554e-02,9.847016542682588414e-01,-3.039055341108803376e-01,3.086270169178454426e-01,-6.047720128806518547e-01,1.582559433814411110e-01,2.531286331362974540e+00,1.901397853395402765e-02,1.148087182293489744e-02
1.020000000000000073e-01,8.160000000000000586e-02,9.840879334287183644e-01,-3.098143620058342873e-01,3.148238602280102327e-01,-6.164686175192091167e-01,1.633430593166301514e-01,2.555743890370012039e+00,1.977434498652410472e-02,1.194174846896665226e-02
1.040000000000000091e-01,8.320000000000001006e-02,9.834624048976428057e-01,-3.157132075697800522e-01,3.210221417692514234e-01,-6.281429977808343779e-01,1.684785440572204585e-01,2.579656710549738996e+00,2.054919133425986422e-02,1.241151623951181060e-02
