N_modes,half_window,delta_x,recurrence_time,max_population_error,max_norm_error
2.000000000000000000e+02,8.000000000000000000e+00,8.000000000000000167e-02,7.853981633974483145e+01,2.657662419717210511e-04,7.514211475267984497e-12
4.000000000000000000e+02,1.400000000000000000e+01,7.000000000000000666e-02,8.975979010256550339e+01,1.542712696537967831e-04,7.549294522846139444e-12
8.000000000000000000e+02,2.000000000000000000e+01,5.000000000000000278e-02,1.256637061435917246e+02,7.917258234828306040e-05,9.951039992017740587e-12
